Customer_ID,Name,Gender,Age,Region,Income,Account_Balance,Products_Held,Credit_Score,Has_Credit_Card,Is_Active_Member,Tenure_Years,Churned,Churned_1_0
UAE-01,Paul Lee,Female,24,Umm AL-Quwain,"12,471","165,928",4,732,YES,IN_ACTIVE,5,RETAINED,1
UAE-02,Amanda Long,Female,48,Ajman,"18,967","56,823",4,598,NO,IN_ACTIVE,1,RETAINED,1
UAE-03,Kristin Mclaughlin,Female,62,RAK,"20,580","67,411",1,571,NO,IN_ACTIVE,7,RETAINED,1
UAE-04,Joseph Ross,Female,30,Abu Dhabi,"15,562","130,998",1,497,YES,ACTIVE,7,RETAINED,1
UAE-05,Elizabeth Woods,Male,29,RAK,"3,025","145,601",3,378,NO,IN_ACTIVE,7,RETAINED,1
UAE-06,Michael Terrell,Female,62,Abu Dhabi,"19,199","14,266",3,666,YES,ACTIVE,10,RETAINED,1
UAE-07,Michelle Hale,Male,23,Umm AL-Quwain,"19,271","40,513",4,464,YES,IN_ACTIVE,7,RETAINED,1
UAE-08,Emily Carter,Male,51,Abu Dhabi,"22,569","35,761",4,434,NO,ACTIVE,1,RETAINED,1
UAE-09,Scott Moses,Female,59,Ajman,"4,901","15,681",3,546,YES,IN_ACTIVE,5,RETAINED,1
UAE-10,Mark Lowe,Female,60,Ajman,"20,835","193,492",3,542,YES,ACTIVE,9,RETAINED,1
UAE-11,Mary Mason,Male,52,Sharjah,"23,851","189,193",3,312,YES,ACTIVE,3,CHURNED,0
UAE-12,Lauren Galvan,Male,45,Umm AL-Quwain,"8,243","52,030",4,341,NO,ACTIVE,3,RETAINED,1
UAE-13,Crystal Davis,Female,52,Fujairah,"13,713","164,363",3,611,NO,ACTIVE,2,RETAINED,1
UAE-14,Connie Gilmore,Male,62,Dubai,"3,352","20,267",3,750,YES,IN_ACTIVE,10,RETAINED,1
UAE-15,Heather Coleman,Male,37,Dubai,"15,938","50,264",1,741,NO,ACTIVE,1,RETAINED,1
UAE-16,Mr. George Reid,Female,42,Ajman,"23,674","155,730",3,838,YES,IN_ACTIVE,7,RETAINED,1
UAE-17,Joshua Jackson,Male,47,Umm AL-Quwain,"23,802","146,156",2,365,YES,IN_ACTIVE,7,RETAINED,1
UAE-18,Patrick Mejia,Female,70,Ajman,"6,777","120,843",4,466,YES,IN_ACTIVE,6,RETAINED,1
UAE-19,Miguel Robles,Female,52,Sharjah,"6,079","170,670",2,638,NO,ACTIVE,10,RETAINED,1
UAE-20,Kathleen Chavez,Male,52,RAK,"23,541","18,068",2,371,YES,ACTIVE,10,RETAINED,1
UAE-21,Jessica Williams,Male,61,Fujairah,"14,411","16,266",4,305,NO,ACTIVE,4,RETAINED,1
UAE-22,Michelle Cohen,Female,36,Ajman,"11,252","24,792",3,755,YES,IN_ACTIVE,6,RETAINED,1
UAE-23,Jessica Sanders,Female,43,Umm AL-Quwain,"3,294","177,282",1,514,NO,IN_ACTIVE,7,RETAINED,1
UAE-24,Jacqueline Howard,Female,47,Ajman,"6,938","171,626",2,546,NO,IN_ACTIVE,8,RETAINED,1
UAE-25,Dennis Wilson,Female,58,RAK,"15,271","152,737",2,470,NO,ACTIVE,6,RETAINED,1
UAE-26,Cheryl Webb,Male,40,Sharjah,"18,815","154,225",2,751,YES,IN_ACTIVE,4,RETAINED,1
UAE-27,Maria Smith,Female,44,Sharjah,"13,731","88,741",1,822,YES,ACTIVE,8,RETAINED,1
UAE-28,Jessica Pena,Female,34,Umm AL-Quwain,"24,615","71,320",3,547,YES,IN_ACTIVE,6,RETAINED,1
UAE-29,Brendan Harris,Female,24,Dubai,"3,827","10,964",4,351,NO,ACTIVE,3,RETAINED,1
UAE-30,Kevin Singleton,Female,68,Dubai,"8,045","1,536",2,358,YES,IN_ACTIVE,2,RETAINED,1
UAE-31,Ashley Jackson,Male,51,Ajman,"5,538","93,600",4,430,NO,ACTIVE,4,RETAINED,1
